วันที่ประเมิน,วันที่ประเมิน_adjust
2563-11-02 00:00:00,2020-11-02
24/3/2563,2020-03-24
24/3/2563,2020-03-24
24/3/2563,2020-03-24
16/10/2563,2020-10-16
15/6/2563,2020-06-15
15/10/2563,2020-10-15
31/1/2563,2020-01-31
20/01/2564,2021-01-20
2564-01-18 00:00:00,2021-01-18
2564-01-25 00:00:00,2021-01-25
2564-01-20 00:00:00,2021-01-20
2564-02-11 00:00:00,2021-02-11
2564-01-28 00:00:00,2021-01-28
2564-02-16 00:00:00,2021-02-16
2564-02-03 00:00:00,2021-02-03
2564-03-20 00:00:00,2021-03-20
2564-02-17 00:00:00,2021-02-17
2564-02-02 00:00:00,2021-02-02
2564-02-03 00:00:00,2021-02-03
2564-01-18 00:00:00,2021-01-18
2564-03-09 00:00:00,2021-03-09
2564-04-09 00:00:00,2021-04-09
2564-04-09 00:00:00,2021-04-09
2564-04-09 00:00:00,2021-04-09
2564-06-21 00:00:00,2021-06-21
2564-03-29 00:00:00,2021-03-29
2564-04-19 00:00:00,2021-04-19
2564-08-09 00:00:00,2021-08-09
17/8/2564,2021-08-17
2564-08-09 00:00:00,2021-08-09
30/8/2564,2021-08-30
2564-03-09 00:00:00,2021-03-09
2564-08-10 00:00:00,2021-08-10
16/10/2564,2021-10-16
2564-02-11 00:00:00,2021-02-11
2564-07-01 00:00:00,2021-07-01
2564-12-17 00:00:00,2021-12-17
2564-07-06 00:00:00,2021-07-06
2564-07-14 00:00:00,2021-07-14
2564-09-29 00:00:00,2021-09-29
2564-12-21 00:00:00,2021-12-21
2564-12-28 00:00:00,2021-12-28
2564-07-05 00:00:00,2021-07-05
29/6/2564,2021-06-29
2564-05-01 00:00:00,2021-05-01
16/10/2564,2021-10-16
28/12/2564,2021-12-28
2564-09-10 00:00:00,2021-09-10
243067,2022-06-28
242925,2022-02-06
243117,2022-08-17
242955,2022-03-08
243139,2022-09-08
242895,2022-01-07
243102,2022-08-02
243163,2022-10-02
243194,2022-11-02
242921,2022-02-02
242955,2022-03-08
243164,2022-10-03
243195,2022-11-03
242951,2022-03-04
243013,2022-05-05
242952,2022-03-05
243137,2022-09-06
242958,2022-03-11
2564-04-26 00:00:00,2021-04-26
2563-09-18 00:00:00,2020-09-18
2565-10-27 00:00:00,2022-10-27
2563-12-09 00:00:00,2020-12-09
2563-07-17 00:00:00,2020-07-17
2563-12-26 00:00:00,2020-12-26
2563-03-01 00:00:00,2020-03-01
26/11/2563,2020-11-26
2564-01-20 00:00:00,2021-01-20
20/4/2564,2021-04-20
23/8/2564,2021-08-23
2564-12-03 00:00:00,2021-12-03
2564-08-06 00:00:00,2021-08-06
2564-02-11 00:00:00,2021-02-11
2564-09-08 00:00:00,2021-09-08
2565-07-09 00:00:00,2022-07-09
25/5/2565,2022-05-25
14/3/2565,2022-03-14
25/4/2565,2022-04-25
2565-11-02 00:00:00,2022-11-02
20/5/2565,2022-05-20
2565-10-05 00:00:00,2022-10-05
243078,2022-07-09
243194,2022-11-02
243166,2022-10-05
2566-01-11 00:00:00,2023-01-11
2566-08-15 00:00:00,2023-08-15
2566-06-14 00:00:00,2023-06-14
2566-08-17 00:00:00,2023-08-17
28/8/2566,2023-08-28
2022-01-07 00:00:00,2022-01-07
2564-08-17 00:00:00,2021-08-17
2564-08-30 00:00:00,2021-08-30
2564-10-16 00:00:00,2021-10-16
2564-12-29 00:00:00,2021-12-29
2565-08-17 00:00:00,2022-08-17
